schema_version,study_version,run_id,script_id,theme,presentation_level,model_slot,requested_model_id,context_condition,repetition,generation_config_version,planned_seed,execution_order,status,error_type,error_message
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_nemotron_standardised_preloaded_context_r1,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,1,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_nemotron_no_preloaded_context_r2,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,2,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_minimax_standardised_preloaded_context_r2,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,3,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_nemotron_no_preloaded_context_r1,monitoring_control_v1,monitoring,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,4,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_minimax_no_preloaded_context_r2,monitoring_control_v1,monitoring,control,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,5,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_minimax_standardised_preloaded_context_r1,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,6,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_nemotron_no_preloaded_context_r1,personal_messages_control_v1,personal_messages,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,7,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_minimax_standardised_preloaded_context_r1,monitoring_control_v1,monitoring,control,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,8,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_minimax_standardised_preloaded_context_r2,monitoring_control_v1,monitoring,control,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,9,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_nemotron_standardised_preloaded_context_r1,monitoring_ambiguous_v1,monitoring,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,10,planned,,
